"","site_code","Date","mean_Salinity","sd_Salinity","SE_Salinity","mean_DOX","sd_DOX","SE_DOX","mean_TURB","sd_TURB","SE_TURB","mean_CPHL","sd_CPHL","SE_CPHL","mean_CNDC","sd_CNDC","SE_CNDC","mean_DESC","sd_DESC","SE_DESC","mean_TEMP","sd_TEMP","SE_TEMP"
"63","NRSNSI",2020-10-22,35.5191566666667,0.0210983523352981,0.00385201450007818,NA,NA,NA,0.379346666666667,0.219066445176569,0.0399958778718919,0.240866666666667,0.04659833749686,0.00850765352975634,5.18585,0.0319772737187328,0.00583822471442235,0.5974,0.131360939977316,0.0239831166668861,23.1783066666667,0.334412570846596,0.0610551028553251
"64","NRSNSI",2020-11-16,35.5993655172414,0.0034231643529329,0.000635665662153504,NA,NA,NA,0.35001724137931,0.08402865186932,0.0156037289254351,0.297668965517241,0.0266363621423298,0.00494624827582635,5.22042413793103,0.0287113175193091,0.00533155781625681,0.595379310344828,0.114506523143289,0.0212633275385714,23.4079379310345,0.273301874456215,0.0507508840015691
"65","NRSNSI",2020-12-21,35.44536,0.0331647673458363,0.00605503039657509,NA,NA,NA,0.243,0.0154178356189322,0.00281489878546526,0.44075,0.11299641663528,0.020630228769465,5.41324,0.0527854185717335,0.00963725481969685,0.716966666666667,0.160069485630101,0.0292245560159518,25.4301533333333,0.54467098055383,0.0994428608225969
"66","NRSNSI",2021-01-19,35.2292566666667,0.151383189708886,0.0276386626102136,NA,NA,NA,0.246103333333333,0.0460170244608437,0.00840152077549036,0.19388,0.0639818853674414,0.0116814406291525,5.53833,0.0426983658736007,0.00779561938585995,0.695833333333333,0.164162678637598,0.0299718673967613,26.8932,0.594100917933692,0.108467491395603
"67","NRSNSI",2021-02-26,35.4002766666667,0.0350093552357507,0.00639180452877742,201.09836,2.54706130920078,0.465027644799302,0.26086,0.0406779072462072,0.00742673579695017,0.662213333333333,0.141249668253094,0.0257885431807804,5.54553333333333,0.046166589899932,0.00842882756376097,0.602533333333333,0.124329022143369,0.0226992699934942,26.7353133333333,0.482441377345178,0.0880813416819386
"68","NRSNSI",2021-06-15,35.4301333333333,0.0443858912790175,0.00573019392434025,201.553883333333,9.09872995194173,1.1746409858503,NA,NA,NA,NA,NA,NA,5.11854333333333,0.0124243250564103,0.00160397346771148,0.5447,0.100874867945643,0.0130228894534782,22.6443966666667,0.173511407300145,0.0224002263616825
"69","NRSNSI",2021-07-27,35.50394,0.00544180927041675,0.000702534555918707,219.576713333333,1.31997904316526,0.170408561717395,NA,NA,NA,NA,NA,NA,4.89282666666667,0.00320465057545033,0.000413718610304438,0.404466666666667,0.0888059141920189,0.0114647942236805,20.3779433333333,0.0327504657317989,0.00422806694532646
"70","NRSNSI",2021-08-20,35.4831466666667,0.0318254000822529,0.00410864148349845,212.742046666667,3.38616038791735,0.437151426333038,NA,NA,NA,NA,NA,NA,5.03446666666667,0.0265494145402376,0.00342751467886324,0.5131,0.141510579349378,0.0182689372377435,21.7716533333333,0.296387467121447,0.0382634574728654
"71","NRSNSI",2021-10-21,35.55883,0.00304320861001403,0.000392876542187312,219.394453333333,1.3844150956658,0.17872722032506,NA,NA,NA,NA,NA,NA,5.10563333333333,0.0238593524758107,0.00308022915967025,0.542433333333333,0.148303098550057,0.0191458476958443,22.3625066666667,0.231968174224628,0.0299469625207375
"72","NRSNSI",2021-11-09,35.6416533333333,0.0336423032055135,0.00434320266810048,198.996666666667,14.9998789846267,1.9364760500862,NA,NA,NA,NA,NA,NA,4.87771666666667,0.103940980917655,0.0134187229360847,0.6082,0.142889645697152,0.0184469739376849,20.0659666666667,1.04886844090557,0.135408333466327
